Price,Close,High,Low,Open,Volume,SMA_20,EMA_20,MACD,MACD_Signal,RSI,%K,%D,Upper Band,Lower Band,H-L,H-PC,L-PC,TR,ATR,OBV,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Short_MA,Long_MA,MA_Crossover
2014-09-12,8105.5,8114.2998046875,8071.60009765625,8087.0498046875,111400,7998.2400390625,8000.887329594877,102.21016679705008,8084.048845107557,71.79777544577428,76.4908905389457,73.39897110167031,8226.333837139824,7770.146240985176,42.69970703125,28.599609375,14.10009765625,42.69970703125,61.660714285714285,5610400,8085.7001953125,8094.10009765625,8152.9501953125,8173.89990234375,8086.85009765625,8122.430078125,7998.2400390625,1
2014-09-15,8042.0,8077.2998046875,8030.0,8070.35009765625,96500,8010.755029296875,8004.802822014412,93.05114845788648,8075.639076086047,63.63275148927486,56.50662618017309,67.75238493312352,8217.611672226736,7803.898386367015,47.2998046875,28.2001953125,75.5,75.5,62.032156808035715,5513900,8105.5,8085.7001953125,8094.10009765625,8152.9501953125,8173.89990234375,8096.05009765625,8010.755029296875,1
2014-09-16,7932.89990234375,8044.89990234375,7925.14990234375,8036.60009765625,128000,8013.687524414063,7997.954924902921,76.11172574712691,8047.091241337588,52.325479145271146,6.201431227729667,46.39964931561616,8213.954053744252,7813.420995083874,119.75,2.89990234375,116.85009765625,119.75,66.80001395089286,5385900,8042.0,8105.5,8085.7001953125,8094.10009765625,8152.9501953125,8052.0400390625,8013.687524414063,1
2014-09-17,7975.5,7990.64990234375,7936.9501953125,7971.5,123700,8017.5875244140625,7995.8163606264525,65.37102656173647,8032.772993070072,53.19927076552197,19.74124282320238,27.48310007703505,8211.256416760993,7823.9186320671315,53.69970703125,57.75,4.05029296875,57.75,67.91786411830357,5509600,7932.89990234375,8042.0,8105.5,8085.7001953125,8094.10009765625,8028.32001953125,8017.5875244140625,1
2014-09-18,8114.75,8120.85009765625,7939.7001953125,7950.64990234375,116900,8029.560034179687,8007.143373900123,67.31924199697914,8049.168394456057,60.87457685022302,74.33831792519476,33.4269973253756,8215.649554812242,7843.470513547132,181.14990234375,145.35009765625,35.7998046875,181.14990234375,78.58928571428571,5626500,7975.5,7932.89990234375,8042.0,8105.5,8085.7001953125,8034.12998046875,8029.560034179687,1
2014-09-19,8121.4501953125,8160.89990234375,8105.35009765625,8129.39990234375,161300,8041.0775390625,8018.029737844159,68.61293927747465,8063.624754627346,56.98740810830483,76.96532738066749,57.01496270968821,8219.437795634114,7862.717282490887,55.5498046875,46.14990234375,9.39990234375,55.5498046875,76.79642159598214,5787800,8114.75,7975.5,7932.89990234375,8042.0,8105.5,8037.32001953125,8041.0775390625,0
2014-09-22,8146.2998046875,8159.89990234375,8064.7998046875,8084.4501953125,105500,8052.73251953125,8030.245934686382,70.8269109513385,8080.1597646393775,54.938708408187665,86.70835064315976,79.33733198300733,8226.308620896525,7879.156418165974,95.10009765625,38.44970703125,56.650390625,95.10009765625,78.28571428571429,5893300,8121.4501953125,8114.75,7975.5,7932.89990234375,8042.0,8058.17998046875,8052.73251953125,1
2014-09-23,8017.5498046875,8159.75,8008.10009765625,8144.39990234375,140800,8058.29501953125,8029.036779448393,61.48370458811223,8067.637772649003,43.42075907265206,36.22811064760129,66.63392955714285,8218.746753153817,7897.8432859086815,151.64990234375,13.4501953125,138.19970703125,151.64990234375,84.91427176339286,5752500,8146.2998046875,8121.4501953125,8114.75,7975.5,7932.89990234375,8075.1099609375,8058.29501953125,1
2014-09-24,8002.39990234375,8042.0498046875,7950.0498046875,8015.5498046875,182200,8063.177514648438,8026.499934009855,52.25432044604713,8054.590198587953,43.62779237866794,30.288143997335084,51.07486842936538,8209.255374448565,7917.099654848312,92.0,24.5,67.5,92.0,87.63570731026786,5570300,8017.5498046875,8146.2998046875,8121.4501953125,8114.75,7975.5,8080.48994140625,8063.177514648438,1
2014-09-25,7911.85009765625,8019.2998046875,7877.35009765625,8003.2998046875,231900,8061.967529296875,8015.580901976178,37.20448440017299,8026.042178401613,39.27037341735014,11.391774434611285,25.969343026515887,8212.802588421648,7911.132470172101,141.94970703125,16.89990234375,125.0498046875,141.94970703125,92.57139369419643,5338400,8002.39990234375,8017.5498046875,8146.2998046875,8121.4501953125,8114.75,8039.9099609375,8061.967529296875,0
2014-09-26,7968.85009765625,7993.2998046875,7841.7998046875,7885.85009765625,147800,8062.692529296875,8011.130349183804,29.53632813175045,8014.60376225254,36.946972522690544,38.18190622652141,26.62060821948926,8211.475029345205,7913.910029248546,151.5,81.44970703125,70.05029296875,151.5,96.72495814732143,5486200,7911.85009765625,8002.39990234375,8017.5498046875,8146.2998046875,8121.4501953125,8009.38994140625,8062.692529296875,0
2014-09-29,7958.89990234375,7991.75,7934.7001953125,7978.4501953125,97300,8059.252514648438,8006.156020913323,22.39816928533037,8003.462990270783,37.471730494119754,36.696979573599464,28.75688674491072,8214.48332783999,7904.021701456886,57.0498046875,22.89990234375,34.14990234375,57.0498046875,97.36781529017857,5388900,7968.85009765625,7911.85009765625,8002.39990234375,8017.5498046875,8146.2998046875,7971.9099609375,8059.252514648438,0
2014-09-30,7964.7998046875,8030.89990234375,7923.85009765625,7948.7998046875,141100,8053.340014648437,8002.217333653722,17.02099237854418,7995.7303531541265,41.039474672634775,38.545898576471615,37.808261458864166,8213.678292417519,7893.001736879356,107.0498046875,72.0,35.0498046875,107.0498046875,99.95350864955357,5530000,7958.89990234375,7968.85009765625,7911.85009765625,8002.39990234375,8017.5498046875,7961.3599609375,8053.340014648437,0
