Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_150,EMA_150,SMA_200,EMA_200,RSI,MACD
2010-02-24,4869.5498046875,4880.5498046875,4834.64990234375,4858.60009765625,4858.60009765625,0,4842.727514648437,4892.8111897967865,,5011.01997895764,,5098.825966098089,,5137.300785208153,,5158.634037864003,44.23182218066159,-59.58900740161698
2010-02-25,4859.0,4880.14990234375,4835.60009765625,4859.75,4859.75,0,4843.060009765625,4889.662505054235,,5005.087822920085,,5094.091788551592,,5133.624615867648,,5155.6600673379935,51.31003687879749,-55.3293740407189
2010-02-26,4858.5,4992.0,4858.4501953125,4922.2998046875,4922.2998046875,0,4845.8125,4892.770819305022,,5001.841233969788,,5090.689967088936,,5130.825611746057,,5153.338074674805,70.97542846049936,-46.371792269608704
2010-03-02,4935.60009765625,5029.4501953125,4935.35009765625,5017.0,5017.0,0,4852.560009765625,4904.6021698474015,,5002.435695382738,,5089.230759819848,,5129.31798774942,,5151.981476916847,73.82992288514575,-31.270858865380433
2010-03-03,5015.7998046875,5093.25,5015.10009765625,5088.10009765625,5088.10009765625,0,4861.980004882813,4922.078162972054,,5005.79508370719,,5089.2083704700735,,5128.772055430305,,5151.345841302314,75.59122521794002,-13.411477509256656
2010-03-04,5096.9501953125,5096.9501953125,5049.0,5080.25,5080.25,0,4874.4875,4937.142147450906,,5008.714884346125,,5089.030976995419,,5128.12937919944,,5150.638419995824,79.38689612164004,0.10753402520458621
2010-03-05,5080.5498046875,5118.64990234375,5068.0498046875,5088.7001953125,5088.7001953125,0,4882.330004882812,4951.576247247248,,5011.851563207551,,5089.024426863084,,5127.607138353256,,5150.022119252706,76.80420255012021,11.372216374566051
2010-03-08,5092.14990234375,5147.10009765625,5092.14990234375,5124.0,5124.0,0,4896.2625,4967.997557033224,,5016.249541120981,,5089.717012469756,,5127.559361686325,,5149.763192692978,82.27924795721407,22.884163131905552
2010-03-09,5121.0498046875,5131.7998046875,5094.35009765625,5101.5,5101.5,0,4915.405004882812,4980.712075411013,,5019.592696371139,,5089.950338955504,,5127.214204577897,,5149.282961919914,76.28062267764756,29.847834658232387
2010-03-10,5101.60009765625,5137.39990234375,5092.0498046875,5116.25,5116.25,0,4933.197509765625,4993.620449181392,,5023.383178866388,,5090.471124322721,,5127.06898332521,,5148.954275731657,73.84743463672227,36.14019457591621
