Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,EMA_12,EMA_26,MACD,Signal_Line
2022-09-15,17877.400390625,18096.150390625,17861.5,18046.349609375,289600,17704.46748046875,17697.613990702812,17807.212214107876,17607.32069486112,199.89151924675753,203.48051819797263
2022-09-16,17530.849609375,17820.05078125,17497.25,17796.80078125,468500,17683.1849609375,17681.731668671593,17764.694890302817,17601.656170010294,163.03872029252307,195.3921586168827
2022-09-19,17622.25,17667.19921875,17429.69921875,17540.650390625,258300,17676.375,17676.06674784573,17742.78029179469,17603.18163889842,139.59865289627123,184.23345747276045
2022-09-20,17816.25,17919.30078125,17744.400390625,17770.400390625,263100,17692.6525390625,17689.417533765183,17754.083323826275,17618.964480461498,135.1188433647767,174.4105346511637
2022-09-21,17718.349609375,17838.69921875,17663.599609375,17766.349609375,245500,17699.69501953125,17692.172969537547,17748.58582929531,17626.3263418625,122.25948743280969,163.98032520749288
2022-09-22,17629.80078125,17722.75,17532.44921875,17609.650390625,284100,17700.93759765625,17686.23276112921,17730.31120651911,17626.583707743055,103.72749877605384,151.9297599212051
2022-09-23,17327.349609375,17642.150390625,17291.650390625,17593.849609375,390800,17691.1826171875,17652.053413343096,17668.317114650785,17604.41821897505,63.89889567573482,134.32358707211102
2022-09-26,17016.30078125,17196.400390625,16978.30078125,17156.30078125,492000,17664.05263671875,17591.505543619944,17568.0069095122,17560.85396432875,7.152945183450356,108.88945869437889
2022-09-27,17007.400390625,17176.44921875,16942.349609375,17110.900390625,359900,17648.77763671875,17535.87648142995,17481.759752760325,17519.857403313657,-38.09765055333264,79.49203684483659
2022-09-28,16858.599609375,17037.599609375,16820.400390625,16870.55078125,323900,17603.742578125,17471.373922186624,17385.888961470275,17470.875344503387,-84.98638303311236,46.5963528692468
2022-09-29,16818.099609375,17026.05078125,16788.599609375,16993.599609375,340000,17567.50751953125,17409.157320966468,17298.536753455617,17422.521586345727,-123.98483289010983,12.480115717375476
2022-09-30,17094.349609375,17187.099609375,16747.69921875,16798.05078125,376100,17545.2525390625,17379.175634148232,17267.123346673983,17398.212551014563,-131.08920434058018,-16.23374829421566
2022-10-03,16887.349609375,17114.650390625,16855.55078125,17102.099609375,278400,17506.32998046875,17332.335060360307,17208.696617858754,17360.370851633856,-151.67423377510204,-43.32184539039294
2022-10-04,17274.30078125,17287.30078125,17117.30078125,17147.44921875,226000,17487.2650390625,17326.807986159325,17218.78956607279,17353.99529086468,-135.20572479188922,-61.6986212706922
2022-10-06,17331.80078125,17428.80078125,17315.650390625,17379.25,265500,17472.63505859375,17327.283490453676,17236.175906869285,17352.351253115445,-116.17534624616019,-72.59396626578581
2022-10-07,17314.650390625,17337.349609375,17216.94921875,17287.19921875,216300,17448.430078125,17326.08033808904,17248.248904370164,17349.55859663467,-101.30969226450543,-78.33711146552974
2022-10-10,17241.0,17280.150390625,17064.69921875,17094.349609375,234000,17418.81259765625,17317.977448747224,17247.133688313217,17341.517219106176,-94.38353079295848,-81.5463953310155
2022-10-11,16983.55078125,17261.80078125,16950.30078125,17256.05078125,282600,17371.17265625,17286.127289937966,17206.582471841954,17315.001186672383,-108.41871483042996,-86.9208592308984
2022-10-12,17123.599609375,17142.349609375,16960.05078125,17025.55078125,256000,17323.85009765625,17270.648463217683,17193.815877616267,17300.823292057765,-107.00741444149753,-90.93817027301823
2022-10-13,17014.349609375,17112.349609375,16956.94921875,17087.349609375,266400,17274.380078125,17246.239048566,17166.205682502226,17279.603019266448,-113.39733676422111,-95.43000357125881
2022-10-14,17185.69921875,17348.55078125,17169.75,17322.30078125,227000,17239.79501953125,17240.473350488286,17169.204688078808,17272.647182191155,-103.44249411234705,-97.03250167947647
2022-10-17,17311.80078125,17328.55078125,17098.55078125,17144.80078125,212200,17228.842578125,17247.266439132258,17191.142548566684,17275.547448788107,-84.4049002214233,-94.50698138786584
2022-10-18,17486.94921875,17527.80078125,17434.05078125,17438.75,239500,17222.0775390625,17270.093370524424,17236.651267056426,17291.206839155653,-54.55557209922699,-86.51669953013807
2022-10-19,17512.25,17607.599609375,17472.849609375,17568.150390625,210500,17206.8775390625,17293.155906664953,17279.05107212467,17307.580406625606,-28.529334500937694,-74.919226524298
2022-10-20,17563.94921875,17584.150390625,17421.0,17423.099609375,249600,17199.15751953125,17318.945745911147,17322.881556220873,17326.57068900519,-3.6891327843186446,-60.67320777630213
2022-10-21,17576.30078125,17670.150390625,17520.75,17622.849609375,277700,17196.48251953125,17343.455749276753,17361.86912930228,17345.06921435666,16.799914945619093,-45.178583231917884
2022-10-24,17730.75,17777.55078125,17707.400390625,17736.349609375,45000,17216.6525390625,17380.3409160123,17418.620032486542,17373.63816144135,44.98187104519093,-27.14649237649612
2022-10-25,17656.349609375,17811.5,17637.0,17808.30078125,251400,17248.65498046875,17406.62745823732,17455.193813546306,17394.579750177178,60.61406336912842,-9.594381227371212
2022-10-27,17736.94921875,17783.900390625,17654.5,17771.400390625,324600,17285.132421875,17438.08667352424,17498.540798962258,17419.940451552942,78.60034740931587,8.044564499966206
2022-10-28,17786.80078125,17838.900390625,17723.69921875,17756.400390625,250000,17331.54248046875,17471.297540926695,17542.888488544988,17447.11529078976,95.77319775522847,25.59029115101866
2022-10-31,18012.19921875,18022.80078125,17899.900390625,17910.19921875,227200,17391.2474609375,17522.811986433677,17615.09013934576,17488.973359527554,126.11677981820685,45.6955888844563
