Date,Open,High,Low,Close
11/18/2019,"11,915.15","11,946.20","11,867.60","11,884.50"
11/15/2019,"11,904.20","11,973.65","11,879.25","11,895.45"
11/14/2019,"11,858.75","11,895.65","11,802.65","11,872.10"
11/13/2019,"11,908.30","11,946.80","11,823.20","11,840.45"
11/11/2019,"11,879.20","11,932.65","11,853.95","11,913.45"
11/8/2019,"11,987.15","12,034.15","11,888.75","11,908.15"
11/7/2019,"12,021.10","12,021.40","11,946.85","12,012.05"
11/6/2019,"11,911.50","12,002.90","11,850.25","11,966.05"
11/5/2019,"11,974.60","11,978.95","11,861.90","11,917.20"
11/4/2019,"11,928.90","11,989.15","11,905.35","11,941.30"
11/1/2019,"11,886.60","11,918.30","11,843.35","11,890.60"
10/31/2019,"11,890.45","11,945.00","11,855.10","11,877.45"
10/30/2019,"11,883.90","11,883.95","11,784.45","11,844.10"
10/29/2019,"11,643.95","11,809.40","11,627.35","11,786.85"
10/27/2019,"11,662.25","11,672.40","11,604.60","11,627.15"
10/25/2019,"11,661.65","11,646.90","11,490.75","11,583.90"
10/24/2019,"11,661.65","11,679.60","11,534.65","11,582.60"
10/23/2019,"11,596.20","11,651.60","11,554.40","11,604.10"
10/22/2019,"11,657.15","11,714.35","11,573.65","11,588.35"
10/18/2019,"11,466.30","11,684.70","11,553.15","11,661.85"
10/17/2019,"11,466.30","11,599.10","11,439.65","11,586.35"
10/16/2019,"11,464.95","11,481.05","11,411.10","11,464.00"
10/15/2019,"11,360.85","11,462.35","11,342.10","11,428.30"
10/14/2019,"11,335.90","11,420.45","11,290.05","11,341.15"
10/11/2019,"11,257.70","11,362.90","11,189.40","11,305.05"
10/10/2019,"11,280.50","11,293.35","11,208.55","11,234.55"
10/9/2019,"11,152.95","11,321.60","11,090.15","11,313.30"
10/7/2019,"11,196.20","11,233.85","11,112.65","11,126.40"
10/4/2019,"11,388.45","11,400.30","11,158.35","11,174.75"
10/3/2019,"11,322.25","11,370.40","11,257.35","11,314.00"
10/1/2019,"11,515.40","11,554.20","11,247.90","11,359.90"
9/30/2019,"11,491.15","11,508.25","11,390.80","11,474.45"
9/27/2019,"11,556.35","11,593.60","11,499.75","11,512.40"
9/26/2019,"11,469.85","11,610.85","11,466.35","11,571.20"
9/25/2019,"11,564.85","11,564.95","11,416.10","11,440.20"
9/24/2019,"11,590.70","11,655.05","11,539.20","11,588.20"
9/23/2019,"11,542.70","11,694.85","11,471.35","11,600.20"
9/20/2019,"10,746.80","11,381.90","10,691.00","11,274.20"
9/19/2019,"10,845.20","10,845.20","10,670.25","10,704.80"
9/18/2019,"10,872.80","10,885.15","10,804.85","10,840.65"
9/17/2019,"11,000.10","11,000.10","10,796.50","10,817.60"
9/16/2019,"10,994.85","11,052.70","10,968.20","11,003.50"
9/13/2019,"10,986.80","11,084.45","10,945.75","11,075.90"
9/12/2019,"11,058.30","11,081.75","10,964.95","10,982.80"
9/11/2019,"11,028.50","11,054.80","11,011.65","11,035.70"
9/9/2019,"10,936.70","11,028.85","10,889.80","11,003.05"
9/6/2019,"10,883.80","10,957.05","10,867.45","10,946.20"
9/5/2019,"10,860.95","10,920.10","10,816.00","10,847.90"
9/4/2019,"10,790.40","10,858.75","10,746.35","10,844.65"
9/3/2019,"10,960.95","10,967.50","10,772.70","10,797.90"
8/30/2019,"10,987.80","11,042.60","10,874.80","11,023.25"
8/29/2019,"10,996.05","11,021.10","10,922.40","10,948.30"
8/28/2019,"11,101.30","11,129.65","10,987.65","11,046.10"
8/27/2019,"11,106.55","11,141.75","11,049.50","11,105.35"
8/26/2019,"11,000.30","11,070.30","10,756.55","11,057.85"
8/23/2019,"10,699.60","10,862.55","10,637.15","10,829.35"
8/22/2019,"10,905.30","10,908.25","10,718.30","10,741.35"
8/21/2019,"11,018.15","11,034.20","10,906.65","10,918.70"
8/20/2019,"11,063.90","11,076.30","10,985.30","11,017.00"
8/19/2019,"11,094.80","11,146.90","11,037.85","11,053.90"
8/16/2019,"11,043.65","11,068.65","10,924.30","11,047.80"
8/14/2019,"11,003.25","11,078.15","10,935.60","11,029.40"
8/13/2019,"11,139.40","11,145.90","10,901.60","10,925.85"
8/9/2019,"11,087.90","11,181.45","11,062.80","11,109.65"
8/8/2019,"10,899.20","11,058.05","10,842.95","11,032.45"
8/7/2019,"10,958.10","10,975.65","10,835.90","10,855.50"
8/6/2019,"10,815.40","11,018.55","10,813.80","10,948.25"
8/5/2019,"10,895.80","10,895.80","10,782.60","10,862.60"
8/2/2019,"10,930.30","11,080.15","10,848.95","10,997.35"
8/1/2019,"11,060.20","11,076.75","10,881.00","10,980.00"
7/31/2019,"11,034.05","11,145.30","10,999.40","11,118.00"
7/30/2019,"11,213.70","11,267.45","11,072.65","11,085.40"
7/29/2019,"11,307.50","11,310.95","11,152.40","11,189.20"
7/26/2019,"11,247.45","11,307.60","11,210.05","11,284.30"
7/25/2019,"11,290.40","11,361.40","11,239.35","11,252.15"
7/24/2019,"11,322.45","11,359.75","11,229.80","11,271.30"
7/23/2019,"11,372.25","11,398.15","11,302.80","11,331.05"
7/22/2019,"11,392.85","11,398.15","11,301.25","11,346.20"
7/19/2019,"11,627.95","11,640.35","11,399.30","11,419.25"
7/18/2019,"11,675.60","11,677.15","11,582.40","11,596.90"
7/17/2019,"11,670.75","11,706.65","11,651.15","11,687.50"
7/16/2019,"11,596.65","11,670.05","11,573.95","11,662.60"
7/15/2019,"11,614.75","11,618.40","11,532.30","11,588.35"
7/12/2019,"11,601.15","11,639.55","11,538.60","11,552.50"
7/11/2019,"11,561.45","11,599.00","11,519.50","11,582.90"
7/10/2019,"11,536.15","11,593.70","11,475.65","11,498.90"
7/9/2019,"11,531.60","11,582.55","11,461.00","11,555.90"
7/8/2019,"11,770.40","11,771.90","11,523.30","11,558.60"
7/5/2019,"11,964.75","11,981.75","11,797.90","11,811.15"
7/4/2019,"11,928.80","11,969.25","11,923.65","11,946.75"
7/3/2019,"11,932.15","11,945.20","11,887.05","11,916.75"
7/2/2019,"11,890.30","11,917.45","11,814.70","11,910.30"
7/1/2019,"11,839.90","11,884.65","11,830.80","11,865.60"
6/28/2019,"11,861.15","11,871.70","11,775.50","11,788.85"
6/27/2019,"11,860.85","11,911.15","11,821.05","11,841.55"
6/26/2019,"11,768.15","11,871.85","11,757.55","11,847.55"
6/25/2019,"11,681.00","11,814.40","11,651.00","11,796.45"
6/24/2019,"11,725.80","11,754.00","11,670.20","11,699.65"
6/21/2019,"11,827.60","11,827.95","11,705.10","11,724.10"
6/20/2019,"11,653.65","11,843.50","11,635.05","11,831.75"
6/19/2019,"11,744.45","11,802.50","11,625.10","11,691.45"
6/18/2019,"11,677.05","11,727.20","11,641.15","11,691.50"
6/17/2019,"11,844.00","11,844.05","11,657.75","11,672.15"
6/14/2019,"11,910.10","11,911.85","11,797.70","11,823.30"
6/13/2019,"11,873.90","11,931.35","11,817.05","11,914.05"
6/12/2019,"11,962.45","11,962.45","11,866.35","11,906.20"
6/11/2019,"11,959.85","12,000.35","11,904.35","11,965.60"
6/10/2019,"11,934.90","11,975.05","11,871.75","11,922.70"
6/7/2019,"11,865.20","11,897.50","11,769.50","11,870.65"
6/6/2019,"12,039.80","12,039.80","11,830.25","11,843.75"
6/4/2019,"12,052.65","12,095.20","12,005.85","12,021.65"
6/3/2019,"11,953.75","12,103.05","11,920.10","12,088.55"
5/31/2019,"11,999.80","12,039.25","11,829.45","11,922.80"
5/30/2019,"11,865.30","11,968.55","11,859.40","11,945.90"
5/29/2019,"11,905.80","11,931.90","11,836.80","11,861.10"
5/28/2019,"11,958.35","11,958.55","11,864.90","11,928.75"
5/27/2019,"11,855.50","11,957.15","11,812.40","11,924.75"
5/24/2019,"11,748.00","11,859.00","11,658.10","11,844.10"
5/23/2019,"11,901.30","12,041.15","11,614.50","11,657.05"
5/22/2019,"11,727.95","11,784.80","11,682.40","11,737.90"
5/21/2019,"11,863.65","11,883.55","11,682.80","11,709.10"
5/20/2019,"11,651.90","11,845.20","11,591.70","11,828.25"
5/17/2019,"11,261.90","11,426.15","11,259.85","11,407.15"
5/16/2019,"11,180.35","11,281.55","11,143.35","11,257.10"
5/15/2019,"11,271.70","11,286.80","11,136.95","11,157.00"
5/14/2019,"11,151.65","11,294.75","11,108.30","11,222.05"
5/13/2019,"11,258.70","11,300.20","11,125.60","11,148.20"
5/10/2019,"11,314.15","11,345.80","11,251.05","11,278.90"
5/9/2019,"11,322.40","11,357.60","11,255.05","11,301.80"
5/8/2019,"11,478.70","11,479.10","11,346.95","11,359.45"
5/7/2019,"11,651.50","11,657.05","11,484.45","11,497.90"
5/6/2019,"11,605.80","11,632.55","11,571.35","11,598.25"
5/3/2019,"11,722.60","11,770.90","11,699.35","11,712.25"
5/2/2019,"11,725.55","11,789.30","11,699.55","11,724.75"
4/30/2019,"11,748.75","11,756.25","11,655.90","11,748.75"
4/26/2019,"11,683.75","11,762.90","11,661.75","11,683.75"
4/25/2019,"11,735.70","11,796.75","11,624.30","11,735.70"
4/24/2019,"11,601.50","11,740.85","11,578.85","11,601.50"
4/23/2019,"11,612.95","11,645.95","11,564.80","11,612.95"
4/22/2019,"11,727.05","11,727.05","11,583.95","11,727.05"
4/18/2019,"11,856.15","11,856.15","11,738.50","11,856.15"
4/16/2019,"11,736.20","11,810.95","11,731.55","11,736.20"
4/15/2019,"11,667.00","11,704.60","11,648.25","11,667.00"
4/12/2019,"11,612.85","11,657.35","11,578.80","11,612.85"
4/11/2019,"11,592.55","11,606.70","11,550.55","11,592.55"
4/10/2019,"11,646.85","11,680.05","11,571.75","11,646.85"
4/9/2019,"11,612.05","11,683.90","11,569.70","11,612.05"
4/8/2019,"11,704.35","11,710.30","11,549.10","11,704.35"
4/5/2019,"11,638.40","11,689.65","11,609.50","11,638.40"
4/4/2019,"11,660.20","11,662.55","11,559.20","11,660.20"
4/3/2019,"11,735.30","11,761.00","11,629.15","11,735.30"
4/2/2019,"11,711.55","11,729.35","11,655.85","11,711.55"
4/1/2019,"11,665.20","11,738.10","11,644.75","11,665.20"
3/29/2019,"11,625.45","11,630.35","11,570.15","11,625.45"
3/28/2019,"11,463.65","11,588.50","11,452.45","11,463.65"
3/27/2019,"11,531.45","11,546.20","11,413.00","11,531.45"
3/26/2019,"11,375.20","11,496.75","11,352.45","11,375.20"
3/25/2019,"11,395.65","11,395.65","11,311.60","11,395.65"
3/22/2019,"11,549.20","11,572.80","11,434.55","11,549.20"
3/20/2019,"11,553.35","11,556.10","11,503.10","11,553.35"
3/19/2019,"11,500.30","11,543.85","11,451.25","11,500.30"
3/18/2019,"11,473.85","11,530.15","11,412.50","11,473.85"
3/15/2019,"11,376.85","11,487.00","11,370.80","11,376.85"
3/14/2019,"11,382.50","11,383.45","11,313.75","11,382.50"
3/13/2019,"11,326.20","11,352.30","11,276.60","11,326.20"
3/12/2019,"11,231.35","11,320.40","11,227.00","11,231.35"
3/11/2019,"11,068.75","11,180.90","11,059.85","11,068.75"
3/8/2019,"11,038.85","11,049.00","11,008.95","11,038.85"
3/7/2019,"11,077.95","11,089.05","11,027.10","11,077.95"
3/6/2019,"11,024.85","11,062.30","10,998.85","11,024.85"
3/5/2019,"10,864.85","10,994.90","10,817.00","10,864.85"
3/1/2019,"10,842.65","10,877.90","10,823.10","10,842.65"
2/28/2019,"10,865.70","10,865.70","10,784.85","10,865.70"
2/27/2019,"10,881.20","10,939.70","10,751.20","10,881.20"
2/26/2019,"10,775.30","10,888.75","10,729.30","10,775.30"
2/25/2019,"10,813.25","10,887.10","10,788.05","10,813.25"
2/22/2019,"10,782.70","10,801.55","10,758.40","10,782.70"
2/21/2019,"10,744.10","10,808.85","10,721.50","10,744.10"
2/20/2019,"10,655.45","10,752.70","10,646.40","10,655.45"
2/19/2019,"10,636.70","10,722.85","10,585.65","10,636.70"
2/18/2019,"10,738.65","10,759.90","10,628.40","10,738.65"
2/15/2019,"10,780.25","10,785.75","10,620.40","10,780.25"
2/14/2019,"10,786.10","10,792.70","10,718.75","10,786.10"
2/13/2019,"10,870.55","10,891.65","10,772.10","10,870.55"
2/12/2019,"10,879.70","10,910.90","10,823.80","10,879.70"
2/11/2019,"10,930.90","10,930.90","10,857.10","10,930.90"
2/8/2019,"11,023.50","11,041.20","10,925.45","11,023.50"
2/7/2019,"11,070.45","11,118.10","11,043.60","11,070.45"
2/6/2019,"10,965.10","11,072.60","10,962.70","10,965.10"
2/5/2019,"10,908.65","10,956.70","10,886.70","10,908.65"
2/4/2019,"10,876.75","10,927.90","10,814.15","10,876.75"
2/1/2019,"10,851.35","10,983.45","10,813.45","10,851.35"
1/31/2019,"10,690.55","10,838.05","10,678.55","10,690.55"
1/30/2019,"10,702.25","10,710.20","10,612.85","10,702.25"
1/29/2019,"10,653.70","10,690.35","10,583.65","10,653.70"
1/28/2019,"10,792.45","10,804.45","10,630.95","10,792.45"
1/25/2019,"10,859.75","10,931.70","10,756.45","10,859.75"
1/24/2019,"10,844.05","10,866.60","10,798.65","10,844.05"
1/23/2019,"10,931.05","10,944.80","10,811.95","10,931.05"
1/22/2019,"10,949.80","10,949.80","10,864.15","10,949.80"
1/21/2019,"10,919.35","10,987.45","10,885.75","10,919.35"
1/18/2019,"10,914.85","10,928.20","10,852.20","10,914.85"
1/17/2019,"10,920.85","10,930.65","10,844.65","10,920.85"
1/16/2019,"10,899.65","10,928.15","10,876.90","10,899.65"
1/15/2019,"10,777.55","10,896.95","10,777.55","10,777.55"
1/14/2019,"10,807.00","10,808.00","10,692.35","10,807.00"
1/11/2019,"10,834.75","10,850.15","10,739.40","10,834.75"
1/10/2019,"10,859.35","10,859.35","10,801.80","10,859.35"
1/9/2019,"10,862.40","10,870.40","10,749.40","10,862.40"
1/8/2019,"10,786.25","10,818.45","10,733.25","10,786.25"
1/7/2019,"10,804.85","10,835.95","10,750.15","10,804.85"
1/4/2019,"10,699.70","10,741.05","10,628.65","10,699.70"
1/3/2019,"10,796.80","10,814.05","10,661.25","10,796.80"
1/2/2019,"10,868.85","10,895.35","10,735.05","10,868.85"
1/1/2019,"10,881.70","10,923.60","10,807.10","10,881.70"
12/31/2018,"10,913.20","10,923.55","10,853.20","10,913.20"
12/28/2018,"10,820.95","10,893.60","10,817.15","10,820.95"
12/27/2018,"10,817.90","10,834.20","10,764.45","10,817.90"
12/26/2018,"10,635.45","10,747.50","10,534.55","10,635.45"
12/24/2018,"10,780.90","10,782.30","10,649.25","10,780.90"
12/21/2018,"10,944.25","10,963.65","10,738.65","10,944.25"
12/20/2018,"10,885.20","10,962.55","10,880.05","10,885.20"
12/19/2018,"10,930.55","10,985.15","10,928.00","10,930.55"
12/18/2018,"10,850.90","10,915.40","10,819.10","10,850.90"
12/17/2018,"10,853.20","10,900.35","10,844.85","10,853.20"
12/14/2018,"10,784.50","10,815.75","10,752.10","10,784.50"
12/13/2018,"10,810.75","10,838.60","10,749.50","10,810.75"
12/12/2018,"10,591.00","10,752.20","10,560.80","10,591.00"
12/11/2018,"10,350.05","10,567.15","10,333.85","10,350.05"
12/10/2018,"10,508.70","10,558.85","10,474.95","10,508.70"
12/7/2018,"10,644.80","10,704.55","10,599.35","10,644.80"
12/6/2018,"10,718.15","10,722.65","10,588.25","10,718.15"
12/5/2018,"10,820.45","10,821.05","10,747.95","10,820.45"
12/4/2018,"10,877.10","10,890.95","10,833.35","10,877.10"
12/3/2018,"10,930.70","10,941.20","10,845.35","10,930.70"
11/30/2018,"10,892.10","10,922.45","10,835.10","10,892.10"
11/29/2018,"10,808.70","10,883.05","10,782.35","10,808.70"
11/28/2018,"10,708.75","10,757.80","10,699.85","10,708.75"
11/27/2018,"10,621.45","10,695.15","10,596.35","10,621.45"
11/26/2018,"10,568.30","10,637.80","10,489.75","10,568.30"
11/22/2018,"10,612.65","10,646.25","10,512.00","10,612.65"
11/21/2018,"10,670.95","10,671.30","10,562.35","10,670.95"
11/20/2018,"10,740.10","10,740.85","10,640.85","10,740.10"
11/19/2018,"10,731.25","10,774.70","10,688.80","10,731.25"
11/16/2018,"10,644.00","10,695.15","10,631.15","10,644.00"
11/15/2018,"10,580.60","10,646.50","10,557.50","10,580.60"
11/14/2018,"10,634.90","10,651.60","10,532.70","10,634.90"
11/13/2018,"10,451.90","10,596.25","10,440.55","10,451.90"
11/12/2018,"10,607.80","10,645.50","10,464.05","10,607.80"
